Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1260.3	30.000	2.9189	0.34259	71.180	81.457	130.81	37.413	48.119	849.31	1.1077	48.959	0.16150	supercritical
1262.5	30.000	2.9130	0.34329	71.265	81.564	130.89	37.432	48.122	850.10	1.1019	49.035	0.16184	supercritical
1264.8	30.000	2.9071	0.34398	71.351	81.670	130.98	37.450	48.126	850.89	1.0962	49.111	0.16218	supercritical
1267.0	30.000	2.9013	0.34468	71.437	81.777	131.06	37.469	48.130	851.69	1.0905	49.187	0.16253	supercritical
1269.2	30.000	2.8954	0.34537	71.522	81.883	131.14	37.487	48.134	852.48	1.0848	49.263	0.16287	supercritical
1271.4	30.000	2.8896	0.34606	71.608	81.990	131.23	37.506	48.138	853.26	1.0792	49.338	0.16321	supercritical
1273.6	30.000	2.8839	0.34676	71.694	82.097	131.31	37.524	48.142	854.05	1.0736	49.414	0.16355	supercritical
1275.8	30.000	2.8781	0.34745	71.780	82.203	131.40	37.543	48.147	854.84	1.0680	49.490	0.16390	supercritical
1278.0	30.000	2.8724	0.34814	71.866	82.310	131.48	37.562	48.151	855.62	1.0625	49.566	0.16424	supercritical
1280.3	30.000	2.8667	0.34883	71.951	82.416	131.56	37.580	48.156	856.41	1.0570	49.641	0.16458	supercritical
1282.5	30.000	2.8610	0.34952	72.037	82.523	131.65	37.599	48.161	857.19	1.0515	49.717	0.16493	supercritical
1284.7	30.000	2.8554	0.35021	72.123	82.630	131.73	37.618	48.166	857.97	1.0461	49.793	0.16527	supercritical
1286.9	30.000	2.8498	0.35090	72.209	82.736	131.81	37.636	48.171	858.75	1.0407	49.868	0.16562	supercritical
1289.1	30.000	2.8442	0.35159	72.295	82.843	131.89	37.655	48.177	859.52	1.0353	49.944	0.16596	supercritical
1291.3	30.000	2.8386	0.35228	72.381	82.949	131.98	37.674	48.182	860.30	1.0300	50.019	0.16630	supercritical
1293.5	30.000	2.8331	0.35297	72.467	83.056	132.06	37.693	48.188	861.08	1.0247	50.095	0.16665	supercritical
1295.8	30.000	2.8276	0.35366	72.553	83.163	132.14	37.712	48.194	861.85	1.0194	50.170	0.16699	supercritical
1298.0	30.000	2.8221	0.35435	72.639	83.269	132.22	37.730	48.200	862.62	1.0142	50.246	0.16734	supercritical
1300.2	30.000	2.8166	0.35503	72.725	83.376	132.31	37.749	48.206	863.39	1.0090	50.321	0.16768	supercritical
1302.4	30.000	2.8112	0.35572	72.811	83.483	132.39	37.768	48.212	864.16	1.0038	50.396	0.16803	supercritical
1304.6	30.000	2.8058	0.35641	72.897	83.590	132.47	37.787	48.218	864.93	0.99863	50.472	0.16837	supercritical
1306.8	30.000	2.8004	0.35709	72.983	83.696	132.55	37.806	48.225	865.70	0.99350	50.547	0.16871	supercritical
1309.0	30.000	2.7950	0.35778	73.070	83.803	132.63	37.825	48.231	866.47	0.98841	50.622	0.16906	supercritical
1311.2	30.000	2.7897	0.35846	73.156	83.910	132.72	37.844	48.238	867.23	0.98334	50.697	0.16940	supercritical
1313.5	30.000	2.7844	0.35915	73.242	84.017	132.80	37.863	48.245	868.00	0.97831	50.772	0.16975	supercritical
1315.7	30.000	2.7791	0.35983	73.328	84.123	132.88	37.882	48.252	868.76	0.97330	50.848	0.17009	supercritical
1317.9	30.000	2.7738	0.36052	73.415	84.230	132.96	37.901	48.259	869.52	0.96832	50.923	0.17044	supercritical
1320.1	30.000	2.7685	0.36120	73.501	84.337	133.04	37.920	48.266	870.28	0.96337	50.998	0.17078	supercritical
1322.3	30.000	2.7633	0.36189	73.587	84.444	133.12	37.940	48.273	871.04	0.95845	51.073	0.17113	supercritical
1324.5	30.000	2.7581	0.36257	73.674	84.551	133.20	37.959	48.281	871.80	0.95355	51.148	0.17147	supercritical
1326.7	30.000	2.7529	0.36325	73.760	84.658	133.28	37.978	48.288	872.55	0.94869	51.223	0.17182	supercritical
1329.0	30.000	2.7478	0.36393	73.846	84.764	133.36	37.997	48.296	873.31	0.94385	51.298	0.17216	supercritical
1331.2	30.000	2.7426	0.36462	73.933	84.871	133.44	38.016	48.304	874.06	0.93904	51.372	0.17251	supercritical
1333.4	30.000	2.7375	0.36530	74.019	84.978	133.52	38.035	48.312	874.81	0.93425	51.447	0.17285	supercritical
1335.6	30.000	2.7324	0.36598	74.106	85.085	133.60	38.054	48.320	875.57	0.92949	51.522	0.17320	supercritical
1337.8	30.000	2.7273	0.36666	74.192	85.192	133.68	38.074	48.328	876.32	0.92476	51.597	0.17355	supercritical
1340.0	30.000	2.7223	0.36734	74.279	85.299	133.76	38.093	48.336	877.07	0.92006	51.672	0.17389	supercritical
1342.2	30.000	2.7172	0.36802	74.366	85.406	133.84	38.112	48.344	877.81	0.91538	51.746	0.17424	supercritical
1344.4	30.000	2.7122	0.36870	74.452	85.513	133.92	38.131	48.353	878.56	0.91073	51.821	0.17458	supercritical
1346.7	30.000	2.7073	0.36938	74.539	85.620	134.00	38.151	48.361	879.31	0.90611	51.896	0.17493	supercritical
1348.9	30.000	2.7023	0.37006	74.625	85.727	134.08	38.170	48.370	880.05	0.90151	51.970	0.17527	supercritical
1351.1	30.000	2.6973	0.37074	74.712	85.834	134.16	38.189	48.378	880.80	0.89694	undefined	undefined	supercritical
1353.3	30.000	2.6924	0.37141	74.799	85.941	134.24	38.208	48.387	881.54	0.89239	undefined	undefined	supercritical
1355.5	30.000	2.6875	0.37209	74.886	86.048	134.32	38.228	48.396	882.28	0.88787	undefined	undefined	supercritical
1357.7	30.000	2.6826	0.37277	74.973	86.156	134.40	38.247	48.405	883.02	0.88337	undefined	undefined	supercritical
1359.9	30.000	2.6778	0.37345	75.059	86.263	134.48	38.266	48.414	883.76	0.87890	undefined	undefined	supercritical
1362.2	30.000	2.6729	0.37412	75.146	86.370	134.56	38.285	48.423	884.50	0.87445	undefined	undefined	supercritical
1364.4	30.000	2.6681	0.37480	75.233	86.477	134.63	38.305	48.432	885.24	0.87003	undefined	undefined	supercritical
1366.6	30.000	2.6633	0.37548	75.320	86.584	134.71	38.324	48.441	885.97	0.86563	undefined	undefined	supercritical
1368.8	30.000	2.6585	0.37615	75.407	86.692	134.79	38.343	48.451	886.71	0.86126	undefined	undefined	supercritical
1371.0	30.000	2.6537	0.37683	75.494	86.799	134.87	38.363	48.460	887.44	0.85691	undefined	undefined	supercritical
1373.2	30.000	2.6490	0.37750	75.581	86.906	134.95	38.382	48.470	888.18	0.85258	undefined	undefined	supercritical
1375.4	30.000	2.6443	0.37818	75.668	87.013	135.03	38.401	48.479	888.91	0.84828	undefined	undefined	supercritical
1377.6	30.000	2.6395	0.37885	75.755	87.121	135.10	38.421	48.489	889.64	0.84400	undefined	undefined	supercritical
1379.9	30.000	2.6349	0.37953	75.842	87.228	135.18	38.440	48.499	890.37	0.83975	undefined	undefined	supercritical
1382.1	30.000	2.6302	0.38020	75.929	87.335	135.26	38.459	48.508	891.10	0.83552	undefined	undefined	supercritical
1384.3	30.000	2.6255	0.38087	76.017	87.443	135.34	38.479	48.518	891.83	0.83131	undefined	undefined	supercritical
1386.5	30.000	2.6209	0.38155	76.104	87.550	135.41	38.498	48.528	892.55	0.82712	undefined	undefined	supercritical
1388.7	30.000	2.6163	0.38222	76.191	87.658	135.49	38.517	48.538	893.28	0.82296	undefined	undefined	supercritical
1390.9	30.000	2.6117	0.38289	76.278	87.765	135.57	38.537	48.548	894.00	0.81882	undefined	undefined	supercritical
1393.1	30.000	2.6071	0.38357	76.366	87.873	135.65	38.556	48.559	894.73	0.81471	undefined	undefined	supercritical
1395.4	30.000	2.6026	0.38424	76.453	87.980	135.72	38.575	48.569	895.45	0.81061	undefined	undefined	supercritical
1397.6	30.000	2.5980	0.38491	76.540	88.088	135.80	38.595	48.579	896.17	0.80654	undefined	undefined	supercritical
1399.8	30.000	2.5935	0.38558	76.628	88.195	135.88	38.614	48.590	896.89	0.80249	undefined	undefined	supercritical
1402.0	30.000	2.5890	0.38625	76.715	88.303	135.95	38.633	48.600	897.61	0.79846	undefined	undefined	supercritical
1404.2	30.000	2.5845	0.38692	76.802	88.410	136.03	38.653	48.611	898.33	0.79445	undefined	undefined	supercritical
1406.4	30.000	2.5800	0.38759	76.890	88.518	136.11	38.672	48.621	899.05	0.79047	undefined	undefined	supercritical
1408.6	30.000	2.5756	0.38826	76.977	88.625	136.18	38.691	48.632	899.77	0.78650	undefined	undefined	supercritical
1410.8	30.000	2.5711	0.38893	77.065	88.733	136.26	38.711	48.642	900.48	0.78256	undefined	undefined	supercritical
1413.1	30.000	2.5667	0.38960	77.153	88.841	136.34	38.730	48.653	901.20	0.77864	undefined	undefined	supercritical
1415.3	30.000	2.5623	0.39027	77.240	88.948	136.41	38.749	48.664	901.91	0.77474	undefined	undefined	supercritical
1417.5	30.000	2.5579	0.39094	77.328	89.056	136.49	38.769	48.675	902.63	0.77086	undefined	undefined	supercritical
1419.7	30.000	2.5535	0.39161	77.416	89.164	136.56	38.788	48.686	903.34	0.76700	undefined	undefined	supercritical
1421.9	30.000	2.5492	0.39228	77.503	89.272	136.64	38.807	48.697	904.05	0.76316	undefined	undefined	supercritical
1424.1	30.000	2.5449	0.39295	77.591	89.380	136.72	38.826	48.708	904.76	0.75934	undefined	undefined	supercritical
1426.3	30.000	2.5405	0.39362	77.679	89.487	136.79	38.846	48.719	905.47	0.75554	undefined	undefined	supercritical
1428.6	30.000	2.5362	0.39429	77.767	89.595	136.87	38.865	48.730	906.18	0.75176	undefined	undefined	supercritical
1430.8	30.000	2.5319	0.39495	77.854	89.703	136.94	38.884	48.741	906.88	0.74801	undefined	undefined	supercritical
1433.0	30.000	2.5277	0.39562	77.942	89.811	137.02	38.904	48.753	907.59	0.74427	undefined	undefined	supercritical
1435.2	30.000	2.5234	0.39629	78.030	89.919	137.09	38.923	48.764	908.30	0.74055	undefined	undefined	supercritical
1437.4	30.000	2.5192	0.39695	78.118	90.027	137.17	38.942	48.775	909.00	0.73685	undefined	undefined	supercritical
1439.6	30.000	2.5150	0.39762	78.206	90.135	137.24	38.961	48.787	909.71	0.73317	undefined	undefined	supercritical
1441.8	30.000	2.5108	0.39829	78.294	90.243	137.32	38.981	48.798	910.41	0.72951	undefined	undefined	supercritical
1444.0	30.000	2.5066	0.39895	78.382	90.351	137.39	39.000	48.810	911.11	0.72587	undefined	undefined	supercritical
1446.3	30.000	2.5024	0.39962	78.470	90.459	137.47	39.019	48.821	911.81	0.72225	undefined	undefined	supercritical
1448.5	30.000	2.4982	0.40028	78.558	90.567	137.54	39.038	48.833	912.51	0.71864	undefined	undefined	supercritical
1450.7	30.000	2.4941	0.40095	78.647	90.675	137.62	39.057	48.844	913.21	0.71506	undefined	undefined	supercritical
1452.9	30.000	2.4900	0.40161	78.735	90.783	137.69	39.077	48.856	913.91	0.71150	undefined	undefined	supercritical
1455.1	30.000	2.4858	0.40228	78.823	90.891	137.77	39.096	48.868	914.61	0.70795	undefined	undefined	supercritical
1457.3	30.000	2.4817	0.40294	78.911	90.999	137.84	39.115	48.880	915.31	0.70442	undefined	undefined	supercritical
1459.5	30.000	2.4777	0.40361	78.999	91.108	137.91	39.134	48.891	916.00	0.70091	undefined	undefined	supercritical
1461.8	30.000	2.4736	0.40427	79.088	91.216	137.99	39.153	48.903	916.70	0.69742	undefined	undefined	supercritical
1464.0	30.000	2.4695	0.40493	79.176	91.324	138.06	39.172	48.915	917.39	0.69394	undefined	undefined	supercritical
1466.2	30.000	2.4655	0.40560	79.265	91.432	138.14	39.192	48.927	918.09	0.69049	undefined	undefined	supercritical
1468.4	30.000	2.4615	0.40626	79.353	91.541	138.21	39.211	48.939	918.78	0.68705	undefined	undefined	supercritical
1470.6	30.000	2.4575	0.40692	79.441	91.649	138.28	39.230	48.951	919.47	0.68363	undefined	undefined	supercritical
1472.8	30.000	2.4535	0.40759	79.530	91.757	138.36	39.249	48.963	920.16	0.68023	undefined	undefined	supercritical
1475.0	30.000	2.4495	0.40825	79.618	91.866	138.43	39.268	48.975	920.85	0.67684	undefined	undefined	supercritical
1477.2	30.000	2.4455	0.40891	79.707	91.974	138.51	39.287	48.987	921.54	0.67347	undefined	undefined	supercritical
1479.5	30.000	2.4416	0.40957	79.795	92.083	138.58	39.306	48.999	922.23	0.67012	undefined	undefined	supercritical
1481.7	30.000	2.4376	0.41023	79.884	92.191	138.65	39.325	49.011	922.92	0.66679	undefined	undefined	supercritical
1483.9	30.000	2.4337	0.41090	79.973	92.300	138.72	39.344	49.024	923.61	0.66347	undefined	undefined	supercritical
1486.1	30.000	2.4298	0.41156	80.061	92.408	138.80	39.363	49.036	924.29	0.66017	undefined	undefined	supercritical
1488.3	30.000	2.4259	0.41222	80.150	92.517	138.87	39.382	49.048	924.98	0.65689	undefined	undefined	supercritical
1490.5	30.000	2.4220	0.41288	80.239	92.625	138.94	39.401	49.061	925.66	0.65362	undefined	undefined	supercritical
1492.7	30.000	2.4181	0.41354	80.328	92.734	139.02	39.420	49.073	926.35	0.65037	undefined	undefined	supercritical
1495.0	30.000	2.4143	0.41420	80.417	92.843	139.09	39.439	49.085	927.03	0.64714	undefined	undefined	supercritical
1497.2	30.000	2.4104	0.41486	80.505	92.951	139.16	39.458	49.098	927.71	0.64392	undefined	undefined	supercritical
1499.4	30.000	2.4066	0.41552	80.594	93.060	139.23	39.477	49.110	928.39	0.64072	undefined	undefined	supercritical
1501.6	30.000	2.4028	0.41618	80.683	93.169	139.31	39.496	49.123	929.07	0.63754	undefined	undefined	supercritical
1503.8	30.000	2.3990	0.41684	80.772	93.277	139.38	39.515	49.135	929.75	0.63437	undefined	undefined	supercritical
1506.0	30.000	2.3952	0.41750	80.861	93.386	139.45	39.534	49.148	930.43	0.63122	undefined	undefined	supercritical
