Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
54.924.941;60.474.447;42.025.998;0.023794795;21.773.182;21.917.080;54.631.618;55.718.460;94.044.856;10.314.534;0.091476266;95.104.283;0.58612766;0.019905738;liquid
54.987.264;61.053.074;41.966.028;0.023828798;21.829.763;21.975.245;54.734.951;55.695.061;94.235.964;10.284.678;0.094006613;94.854.354;0.58532180;0.019759749;liquid
55.049.587;61.635.919;41.905.816;0.023863036;21.886.430;22.033.512;54.838.329;55.671.877;94.429.470;10.254.724;0.096565554;94.605.038;0.58451250;0.019613810;liquid
55.111.909;62.223.006;41.845.359;0.023897513;21.943.183;22.091.881;54.941.753;55.648.908;94.625.419;10.224.671;0.099153559;94.356.325;0.58369974;0.019467922;liquid
55.174.232;62.814.355;41.784.656;0.023932230;22.000.024;22.150.353;55.045.225;55.626.158;94.823.858;10.194.519;0.10177111;94.108.201;0.58288353;0.019322088;liquid
55.236.555;63.409.987;41.723.705;0.023967191;22.056.953;22.208.929;55.148.748;55.603.629;95.024.833;10.164.267;0.10441869;93.860.656;0.58206385;0.019176308;liquid
55.298.877;64.009.925;41.662.502;0.024002399;22.113.972;22.267.611;55.252.321;55.581.323;95.228.393;10.133.915;0.10709680;93.613.677;0.58124069;0.019030586;liquid
55.361.200;64.614.190;41.601.045;0.024037858;22.171.080;22.326.399;55.355.948;55.559.244;95.434.588;10.103.463;0.10980597;93.367.253;0.58041403;0.018884922;liquid
55.423.523;65.222.804;41.539.332;0.024073569;22.228.280;22.385.295;55.459.630;55.537.393;95.643.469;10.072.909;0.11254670;93.121.371;0.57958387;0.018739319;liquid
55.485.845;65.835.788;41.477.361;0.024109538;22.285.573;22.444.300;55.563.368;55.515.775;95.855.088;10.042.253;0.11531953;92.876.019;0.57875019;0.018593778;liquid
55.548.168;66.453.166;41.415.128;0.024145766;22.342.958;22.503.414;55.667.166;55.494.390;96.069.500;10.011.494;0.11812501;92.631.187;0.57791299;0.018448302;liquid
55.610.491;67.074.958;41.352.631;0.024182258;22.400.438;22.562.640;55.771.023;55.473.244;96.286.759;99.806.327;0.12096371;92.386.861;0.57707224;0.018302892;liquid
55.672.813;67.701.187;41.289.868;0.024219017;22.458.012;22.621.978;55.874.942;55.452.338;96.506.923;99.496.674;0.12383618;92.143.031;0.57622793;0.018157551;liquid
55.735.136;68.331.876;41.226.836;0.024256046;22.515.683;22.681.430;55.978.926;55.431.676;96.730.049;99.185.977;0.12674303;91.899.683;0.57538006;0.018012279;liquid
55.797.459;68.967.046;41.163.531;0.024293348;22.573.452;22.740.996;56.082.975;55.411.260;96.956.198;98.874.231;0.12968484;91.656.807;0.57452861;0.017867080;liquid
55.859.781;69.606.721;41.099.951;0.024330929;22.631.319;22.800.678;56.187.093;55.391.095;97.185.432;98.561.428;0.13266222;91.414.390;0.57367356;0.017721955;liquid
