Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Phase
30.058.197;0.0036596191;0.0014669783;68.167.334;43.460.601;45.955.266;15.322.284;25.992.231;34.495.573;42.828.704;26.019.003;97.780.933;0.018603873;vapor
30.120.520;0.0037952391;0.0015182585;65.864.938;43.475.830;45.975.562;15.298.829;26.002.888;34.509.493;42.871.123;25.583.011;97.979.560;0.018647820;vapor
30.182.843;0.0039352131;0.0015710710;63.650.849;43.491.051;45.995.848;15.275.500;26.013.583;34.523.494;42.913.478;25.156.821;98.178.532;0.018691864;vapor
30.245.165;0.0040796576;0.0016254531;61.521.308;43.506.265;46.016.124;15.252.297;26.024.319;34.537.581;42.955.767;24.740.204;98.377.847;0.018736005;vapor
30.307.488;0.0042286915;0.0016814429;59.472.731;43.521.471;46.036.390;15.229.217;26.035.097;34.551.755;42.997.992;24.332.932;98.577.498;0.018780243;vapor
30.369.811;0.0043824362;0.0017390789;57.501.702;43.536.670;46.056.645;15.206.260;26.045.918;34.566.018;43.040.150;23.934.783;98.777.484;0.018824578;vapor
30.432.133;0.0045410155;0.0017984007;55.604.961;43.551.861;46.076.891;15.183.425;26.056.784;34.580.372;43.082.243;23.545.539;98.977.798;0.018869012;vapor
30.494.456;0.0047045557;0.0018594481;53.779.398;43.567.044;46.097.126;15.160.712;26.067.696;34.594.821;43.124.269;23.164.987;99.178.437;0.018913545;vapor
30.556.779;0.0048731857;0.0019222620;52.022.046;43.582.219;46.117.350;15.138.120;26.078.657;34.609.366;43.166.229;22.792.920;99.379.396;0.018958178;vapor
30.619.101;0.0050470370;0.0019868838;50.330.071;43.597.386;46.137.563;15.115.647;26.089.667;34.624.010;43.208.122;22.429.133;99.580.672;0.019002910;vapor
30.681.424;0.0052262437;0.0020533556;48.700.770;43.612.545;46.157.766;15.093.292;26.100.729;34.638.756;43.249.947;22.073.426;99.782.261;0.019047743;vapor
30.743.747;0.0054109425;0.0021217204;47.131.563;43.627.695;46.177.957;15.071.056;26.111.844;34.653.606;43.291.706;21.725.604;99.984.157;0.019092676;vapor
30.806.069;0.0056012728;0.0021920218;45.619.983;43.642.837;46.198.137;15.048.937;26.123.015;34.668.564;43.333.396;21.385.477;10.018.636;0.019137711;vapor
30.868.392;0.0057973767;0.0022643042;44.163.678;43.657.970;46.218.305;15.026.934;26.134.243;34.683.631;43.375.017;21.052.856;10.038.886;0.019182849;vapor
30.930.715;0.0059993990;0.0023386125;42.760.397;43.673.095;46.238.461;15.005.047;26.145.530;34.698.810;43.416.570;20.727.561;10.059.166;0.019228089;vapor
30.993.037;0.0062074875;0.0024149928;41.407.991;43.688.210;46.258.606;14.983.274;26.156.879;34.714.105;43.458.054;20.409.411;10.079.475;0.019273432;vapor
31.055.360;0.0064217926;0.0024934915;40.104.409;43.703.317;46.278.739;14.961.616;26.168.290;34.729.518;43.499.469;20.098.233;10.099.813;0.019318879;vapor
31.117.683;0.0066424675;0.0025741560;38.847.685;43.718.414;46.298.859;14.940.070;26.179.766;34.745.052;43.540.813;19.793.856;10.120.179;0.019364431;vapor
31.180.005;0.0068696684;0.0026570344;37.635.945;43.733.502;46.318.967;14.918.636;26.191.310;34.760.710;43.582.087;19.496.113;10.140.573;0.019410088;vapor
