Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Phase
37.412.272;0.10498957;0.034295897;29.158.007;45.167.425;48.228.711;13.227.705;28.075.137;37.544.152;47.268.985;65.903.724;12.265.942;0.024665794;vapor
37.474.595;0.10733212;0.035011080;28.562.386;45.180.685;48.246.347;13.214.361;28.105.272;37.590.714;47.300.525;65.397.251;12.287.591;0.024727293;vapor
37.536.917;0.10971774;0.035738373;27.981.128;45.193.917;48.263.943;13.201.071;28.135.713;37.637.792;47.331.940;64.897.260;12.309.242;0.024789017;vapor
37.599.240;0.11214703;0.036477929;27.413.837;45.207.120;48.281.500;13.187.835;28.166.461;37.685.390;47.363.230;64.403.627;12.330.892;0.024850968;vapor
37.661.563;0.11462060;0.037229902;26.860.130;45.220.293;48.299.017;13.174.653;28.197.520;37.733.515;47.394.394;63.916.228;12.352.543;0.024913146;vapor
37.723.885;0.11713906;0.037994448;26.319.635;45.233.437;48.316.494;13.161.525;28.228.891;37.782.169;47.425.431;63.434.943;12.374.194;0.024975555;vapor
37.786.208;0.11970304;0.038771726;25.791.991;45.246.551;48.333.930;13.148.450;28.260.578;37.831.359;47.456.342;62.959.653;12.395.845;0.025038195;vapor
37.848.531;0.12231316;0.039561893;25.276.849;45.259.634;48.351.326;13.135.427;28.292.582;37.881.089;47.487.125;62.490.245;12.417.495;0.025101067;vapor
37.910.853;0.12497005;0.040365109;24.773.871;45.272.688;48.368.680;13.122.457;28.324.906;37.931.363;47.517.780;62.026.604;12.439.145;0.025164175;vapor
37.973.176;0.12767435;0.041181534;24.282.728;45.285.710;48.385.992;13.109.539;28.357.552;37.982.187;47.548.306;61.568.622;12.460.795;0.025227519;vapor
38.035.499;0.13042671;0.042011332;23.803.101;45.298.702;48.403.263;13.096.672;28.390.523;38.033.564;47.578.702;61.116.188;12.482.443;0.025291100;vapor
38.097.821;0.13322778;0.042854665;23.334.682;45.311.663;48.420.491;13.083.856;28.423.820;38.085.501;47.608.969;60.669.199;12.504.091;0.025354921;vapor
38.160.144;0.13607819;0.043711699;22.877.171;45.324.592;48.437.676;13.071.091;28.457.446;38.138.000;47.639.106;60.227.550;12.525.738;0.025418983;vapor
38.222.467;0.13897863;0.044582598;22.430.276;45.337.490;48.454.819;13.058.377;28.491.404;38.191.068;47.669.111;59.791.141;12.547.383;0.025483288;vapor
38.284.789;0.14192974;0.045467531;21.993.717;45.350.356;48.471.918;13.045.712;28.525.695;38.244.709;47.698.984;59.359.872;12.569.027;0.025547837;vapor
38.347.112;0.14493220;0.046366666;21.567.218;45.363.189;48.488.974;13.033.097;28.560.322;38.298.927;47.728.726;58.933.646;12.590.670;0.025612632;vapor
38.409.435;0.14798669;0.047280172;21.150.515;45.375.991;48.505.985;13.020.531;28.595.287;38.353.728;47.758.334;58.512.368;12.612.311;0.025677675;vapor
38.471.757;0.15109389;0.048208221;20.743.350;45.388.759;48.522.952;13.008.015;28.630.591;38.409.115;47.787.810;58.095.946;12.633.951;0.025742967;vapor
38.534.080;0.15425447;0.049150984;20.345.473;45.401.495;48.539.875;12.995.547;28.666.238;38.465.094;47.817.151;57.684.288;12.655.588;0.025808510;vapor
38.596.403;0.15746915;0.050108636;19.956.640;45.414.197;48.556.752;12.983.127;28.702.229;38.521.668;47.846.358;57.277.306;12.677.224;0.025874306;vapor
38.658.725;0.16073861;0.051081352;19.576.616;45.426.866;48.573.584;12.970.755;28.738.566;38.578.843;47.875.430;56.874.912;12.698.857;0.025940355;vapor
38.721.048;0.16406355;0.052069306;19.205.172;45.439.501;48.590.370;12.958.430;28.775.251;38.636.624;47.904.366;56.477.022;12.720.489;0.026006661;vapor
38.783.371;0.16744470;0.053072678;18.842.087;45.452.102;48.607.110;12.946.153;28.812.286;38.695.014;47.933.166;56.083.551;12.742.118;0.026073225;vapor
38.845.693;0.17088275;0.054091645;18.487.143;45.464.669;48.623.803;12.933.922;28.849.673;38.754.018;47.961.830;55.694.417;12.763.744;0.026140048;vapor
38.908.016;0.17437843;0.055126389;18.140.133;45.477.202;48.640.450;12.921.738;28.887.414;38.813.641;47.990.356;55.309.542;12.785.368;0.026207131;vapor
38.970.339;0.17793247;0.056177089;17.800.851;45.489.700;48.657.049;12.909.600;28.925.511;38.873.888;48.018.744;54.928.847;12.806.990;0.026274478;vapor
39.032.661;0.18154559;0.057243929;17.469.101;45.502.162;48.673.601;12.897.508;28.963.966;38.934.762;48.046.994;54.552.254;12.828.608;0.026342088;vapor
39.094.984;0.18521854;0.058327093;17.144.691;45.514.590;48.690.104;12.885.461;29.002.779;38.996.267;48.075.105;54.179.690;12.850.224;0.026409965;vapor
39.157.307;0.18895206;0.059426766;16.827.434;45.526.981;48.706.560;12.873.459;29.041.954;39.058.410;48.103.077;53.811.081;12.871.837;0.026478110;vapor
39.219.629;0.19274688;0.060543135;16.517.149;45.539.337;48.722.966;12.861.502;29.081.492;39.121.193;48.130.909;53.446.354;12.893.446;0.026546524;vapor
39.281.952;0.19660378;0.061676388;16.213.660;45.551.657;48.739.324;12.849.589;29.121.393;39.184.621;48.158.600;53.085.441;12.915.052;0.026615209;vapor
39.344.275;0.20052350;0.062826715;15.916.796;45.563.941;48.755.632;12.837.720;29.161.661;39.248.698;48.186.150;52.728.271;12.936.655;0.026684167;vapor
39.406.597;0.20450681;0.063994305;15.626.390;45.576.187;48.771.891;12.825.895;29.202.296;39.313.428;48.213.559;52.374.777;12.958.255;0.026753399;vapor
39.468.920;0.20855448;0.065179351;15.342.282;45.588.397;48.788.099;12.814.114;29.243.300;39.378.817;48.240.826;52.024.895;12.979.851;0.026822908;vapor
39.531.243;0.21266728;0.066382047;15.064.314;45.600.570;48.804.257;12.802.376;29.284.674;39.444.867;48.267.950;51.678.559;13.001.444;0.026892695;vapor
39.593.565;0.21684600;0.067602587;14.792.333;45.612.705;48.820.364;12.790.680;29.326.420;39.511.583;48.294.931;51.335.706;13.023.033;0.026962762;vapor
39.655.888;0.22109143;0.068841167;14.526.192;45.624.803;48.836.419;12.779.027;29.368.539;39.578.969;48.321.768;50.996.275;13.044.618;0.027033110;vapor
39.718.211;0.22540435;0.070097986;14.265.745;45.636.862;48.852.423;12.767.416;29.411.032;39.647.029;48.348.461;50.660.205;13.066.199;0.027103741;vapor
39.780.533;0.22978557;0.071373241;14.010.853;45.648.884;48.868.375;12.755.846;29.453.900;39.715.767;48.375.009;50.327.437;13.087.776;0.027174657;vapor
39.842.856;0.23423588;0.072667133;13.761.380;45.660.866;48.884.275;12.744.318;29.497.145;39.785.187;48.401.413;49.997.914;13.109.350;0.027245860;vapor
39.905.179;0.23875610;0.073979864;13.517.192;45.672.810;48.900.122;12.732.832;29.540.767;39.855.293;48.427.670;49.671.579;13.130.919;0.027317352;vapor
39.967.501;0.24334704;0.075311636;13.278.161;45.684.715;48.915.916;12.721.386;29.584.768;39.926.088;48.453.782;49.348.377;13.152.484;0.027389133;vapor
40.029.824;0.24800952;0.076662655;13.044.161;45.696.581;48.931.657;12.709.980;29.629.149;39.997.576;48.479.746;49.028.253;13.174.045;0.027461206;vapor
40.092.147;0.25274437;0.078033126;12.815.070;45.708.407;48.947.343;12.698.615;29.673.910;40.069.762;48.505.564;48.711.156;13.195.601;0.027533574;vapor
40.154.469;0.25755242;0.079423257;12.590.771;45.720.193;48.962.976;12.687.290;29.719.052;40.142.649;48.531.234;48.397.033;13.217.153;0.027606236;vapor
40.216.792;0.26243450;0.080833255;12.371.146;45.731.938;48.978.554;12.676.004;29.764.577;40.216.239;48.556.756;48.085.834;13.238.701;0.027679196;vapor
40.279.115;0.26739147;0.082263332;12.156.084;45.743.644;48.994.077;12.664.758;29.810.484;40.290.538;48.582.129;47.777.509;13.260.244;0.027752455;vapor
40.341.437;0.27242416;0.083713699;11.945.476;45.755.308;49.009.545;12.653.551;29.856.775;40.365.549;48.607.354;47.472.010;13.281.783;0.027826014;vapor
40.403.760;0.27753343;0.085184569;11.739.215;45.766.932;49.024.957;12.642.382;29.903.450;40.441.274;48.632.428;47.169.291;13.303.317;0.027899876;vapor
40.466.083;0.28272014;0.086676157;11.537.198;45.778.515;49.040.313;12.631.252;29.950.510;40.517.718;48.657.353;46.869.304;13.324.846;0.027974043;vapor
40.528.405;0.28798515;0.088188677;11.339.324;45.790.056;49.055.613;12.620.160;29.997.954;40.594.883;48.682.127;46.572.006;13.346.371;0.028048515;vapor
40.590.728;0.29332934;0.089722349;11.145.495;45.801.555;49.070.855;12.609.106;30.045.784;40.672.774;48.706.751;46.277.351;13.367.890;0.028123295;vapor
40.653.051;0.29875358;0.091277390;10.955.616;45.813.012;49.086.041;12.598.089;30.093.999;40.751.393;48.731.223;45.985.296;13.389.405;0.028198386;vapor
40.715.373;0.30425876;0.092854022;10.769.593;45.824.426;49.101.169;12.587.109;30.142.601;40.830.743;48.755.543;45.695.801;13.410.915;0.028273787;vapor
40.777.696;0.30984575;0.094452465;10.587.336;45.835.798;49.116.239;12.576.167;30.191.589;40.910.828;48.779.711;45.408.823;13.432.420;0.028349502;vapor
40.840.019;0.31551546;0.096072943;10.408.758;45.847.127;49.131.251;12.565.261;30.240.963;40.991.651;48.803.726;45.124.323;13.453.921;0.028425532;vapor
40.902.341;0.32126877;0.097715682;10.233.772;45.858.413;49.146.205;12.554.391;30.290.723;41.073.215;48.827.588;44.842.261;13.475.416;0.028501879;vapor
40.964.664;0.32710660;0.099380906;10.062.295;45.869.656;49.161.099;12.543.558;30.340.870;41.155.523;48.851.297;44.562.598;13.496.906;0.028578544;vapor
41.026.987;0.33302986;0.10106885;98.942.458;45.880.854;49.175.934;12.532.760;30.391.403;41.238.577;48.874.851;44.285.299;13.518.391;0.028655531;vapor
41.089.309;0.33903946;0.10277973;97.295.451;45.892.009;49.190.709;12.521.998;30.442.323;41.322.381;48.898.252;44.010.325;13.539.871;0.028732839;vapor
41.151.632;0.34513631;0.10451379;95.681.158;45.903.119;49.205.424;12.511.271;30.493.628;41.406.938;48.921.497;43.737.642;13.561.346;0.028810472;vapor
41.213.955;0.35132135;0.10627125;94.098.828;45.914.185;49.220.078;12.500.579;30.545.319;41.492.250;48.944.587;43.467.215;13.582.815;0.028888431;vapor
41.276.277;0.35759551;0.10805235;92.547.729;45.925.206;49.234.671;12.489.921;30.597.395;41.578.319;48.967.521;43.199.009;13.604.280;0.028966718;vapor
41.338.600;0.36395973;0.10985734;91.027.148;45.936.182;49.249.203;12.479.298;30.649.856;41.665.150;48.990.299;42.932.991;13.625.739;0.029045334;vapor
41.400.923;0.37041494;0.11168643;89.536.390;45.947.112;49.263.674;12.468.710;30.702.701;41.752.743;49.012.921;42.669.129;13.647.193;0.029124282;vapor
41.463.245;0.37696209;0.11353988;88.074.780;45.957.997;49.278.082;12.458.155;30.755.931;41.841.103;49.035.386;42.407.392;13.668.642;0.029203564;vapor
41.525.568;0.38360215;0.11541792;86.641.657;45.968.836;49.292.428;12.447.633;30.809.543;41.930.231;49.057.693;42.147.748;13.690.085;0.029283181;vapor
41.587.891;0.39033606;0.11732080;85.236.380;45.979.628;49.306.712;12.437.145;30.863.539;42.020.130;49.079.843;41.890.167;13.711.524;0.029363135;vapor
41.650.213;0.39716479;0.11924875;83.858.321;45.990.374;49.320.932;12.426.690;30.917.916;42.110.802;49.101.835;41.634.620;13.732.957;0.029443428;vapor
41.712.536;0.40408932;0.12120203;82.506.870;46.001.073;49.335.088;12.416.268;30.972.674;42.202.249;49.123.668;41.381.079;13.754.384;0.029524062;vapor
41.774.859;0.41111062;0.12318088;81.181.433;46.011.726;49.349.180;12.405.879;31.027.812;42.294.475;49.145.343;41.129.515;13.775.807;0.029605039;vapor
41.837.181;0.41822966;0.12518554;79.881.430;46.022.330;49.363.209;12.395.521;31.083.330;42.387.481;49.166.858;40.879.900;13.797.224;0.029686360;vapor
41.899.504;0.42544745;0.12721628;78.606.294;46.032.887;49.377.172;12.385.196;31.139.226;42.481.269;49.188.213;40.632.209;13.818.636;0.029768029;vapor
41.961.827;0.43276496;0.12927333;77.355.476;46.043.397;49.391.071;12.374.902;31.195.500;42.575.842;49.209.409;40.386.415;13.840.042;0.029850045;vapor
42.024.149;0.44018319;0.13135696;76.128.437;46.053.858;49.404.903;12.364.640;31.252.149;42.671.202;49.230.444;40.142.493;13.861.443;0.029932412;vapor
42.086.472;0.44770316;0.13346742;74.924.655;46.064.270;49.418.671;12.354.409;31.309.174;42.767.351;49.251.318;39.900.418;13.882.839;0.030015132;vapor
42.148.795;0.45532586;0.13560496;73.743.616;46.074.634;49.432.371;12.344.210;31.366.572;42.864.291;49.272.031;39.660.167;13.904.230;0.030098206;vapor
42.211.117;0.46305232;0.13776984;72.584.825;46.084.949;49.446.006;12.334.040;31.424.343;42.962.024;49.292.583;39.421.714;13.925.616;0.030181636;vapor
42.273.440;0.47088354;0.13996233;71.447.794;46.095.214;49.459.573;12.323.902;31.482.485;43.060.553;49.312.972;39.185.038;13.946.996;0.030265424;vapor
42.335.763;0.47882057;0.14218269;70.332.049;46.105.430;49.473.073;12.313.793;31.540.997;43.159.878;49.333.200;38.950.117;13.968.371;0.030349572;vapor
42.398.085;0.48686441;0.14443118;69.237.129;46.115.596;49.486.505;12.303.715;31.599.877;43.260.003;49.353.265;38.716.927;13.989.741;0.030434082;vapor
42.460.408;0.49501612;0.14670806;68.162.582;46.125.711;49.499.869;12.293.666;31.659.124;43.360.928;49.373.167;38.485.449;14.011.105;0.030518956;vapor
42.522.731;0.50327674;0.14901360;67.107.969;46.135.777;49.513.165;12.283.647;31.718.736;43.462.657;49.392.905;38.255.660;14.032.465;0.030604196;vapor
42.585.053;0.51164730;0.15134807;66.072.860;46.145.791;49.526.391;12.273.657;31.778.712;43.565.190;49.412.480;38.027.542;14.053.820;0.030689804;vapor
42.647.376;0.52012886;0.15371175;65.056.836;46.155.755;49.539.548;12.263.696;31.839.050;43.668.530;49.431.891;37.801.074;14.075.169;0.030775781;vapor
42.709.699;0.52872248;0.15610490;64.059.490;46.165.667;49.552.636;12.253.764;31.899.749;43.772.678;49.451.137;37.576.236;14.096.513;0.030862131;vapor
42.772.021;0.53742923;0.15852779;63.080.421;46.175.527;49.565.654;12.243.860;31.960.806;43.877.637;49.470.219;37.353.011;14.117.853;0.030948854;vapor
42.834.344;0.54625016;0.16098072;62.119.242;46.185.336;49.578.601;12.233.985;32.022.219;43.983.408;49.489.136;37.131.379;14.139.187;0.031035954;vapor
42.896.667;0.55518635;0.16346394;61.175.572;46.195.093;49.591.477;12.224.138;32.083.988;44.089.992;49.507.887;36.911.323;14.160.517;0.031123431;vapor
42.958.989;0.56423889;0.16597775;60.249.041;46.204.797;49.604.282;12.214.318;32.146.110;44.197.392;49.526.472;36.692.825;14.181.842;0.031211288;vapor
43.021.312;0.57340885;0.16852242;59.339.287;46.214.448;49.617.016;12.204.527;32.208.583;44.305.609;49.544.891;36.475.869;14.203.161;0.031299527;vapor
43.083.635;0.58269733;0.17109824;58.445.956;46.224.047;49.629.677;12.194.762;32.271.405;44.414.646;49.563.144;36.260.437;14.224.477;0.031388150;vapor
43.145.957;0.59210542;0.17370549;57.568.706;46.233.592;49.642.266;12.185.025;32.334.574;44.524.503;49.581.229;36.046.514;14.245.787;0.031477159;vapor
43.208.280;0.60163422;0.17634446;56.707.198;46.243.083;49.654.782;12.175.314;32.398.089;44.635.182;49.599.148;35.834.083;14.267.093;0.031566556;vapor
43.270.603;0.61128483;0.17901544;55.861.104;46.252.521;49.667.226;12.165.630;32.461.946;44.746.686;49.616.899;35.623.130;14.288.394;0.031656343;vapor
43.332.925;0.62105837;0.18171872;55.030.103;46.261.904;49.679.595;12.155.973;32.526.145;44.859.016;49.634.482;35.413.638;14.309.691;0.031746522;vapor
43.395.248;0.63095596;0.18445460;54.213.883;46.271.233;49.691.891;12.146.342;32.590.682;44.972.174;49.651.897;35.205.594;14.330.983;0.031837095;vapor
43.457.571;0.64097871;0.18722336;53.412.138;46.280.508;49.704.112;12.136.736;32.655.557;45.086.161;49.669.143;34.998.983;14.352.271;0.031928065;vapor
43.519.893;0.65112774;0.19002531;52.624.568;46.289.727;49.716.259;12.127.157;32.720.765;45.200.979;49.686.220;34.793.790;14.373.555;0.032019433;vapor
43.582.216;0.66140421;0.19286075;51.850.882;46.298.891;49.728.330;12.117.603;32.786.306;45.316.630;49.703.128;34.590.003;14.394.834;0.032111202;vapor
43.644.539;0.67180923;0.19572998;51.090.795;46.307.999;49.740.326;12.108.074;32.852.177;45.433.116;49.719.867;34.387.608;14.416.109;0.032203374;vapor
43.706.861;0.68234395;0.19863329;50.344.028;46.317.051;49.752.246;12.098.571;32.918.376;45.550.438;49.736.435;34.186.592;14.437.380;0.032295950;vapor
43.769.184;0.69300953;0.20157100;49.610.311;46.326.047;49.764.089;12.089.092;32.984.900;45.668.599;49.752.833;33.986.941;14.458.647;0.032388933;vapor
43.831.507;0.70380711;0.20454341;48.889.377;46.334.987;49.775.856;12.079.638;33.051.747;45.787.600;49.769.060;33.788.644;14.479.910;0.032482326;vapor
43.893.829;0.71473785;0.20755084;48.180.966;46.343.870;49.787.546;12.070.208;33.118.915;45.907.443;49.785.116;33.591.688;14.501.170;0.032576129;vapor
43.956.152;0.72580292;0.21059359;47.484.827;46.352.696;49.799.158;12.060.803;33.186.402;46.028.130;49.801.001;33.396.061;14.522.425;0.032670347;vapor
44.018.475;0.73700348;0.21367197;46.800.709;46.361.464;49.810.693;12.051.421;33.254.204;46.149.662;49.816.714;33.201.753;14.543.677;0.032764980;vapor
44.080.797;0.74834071;0.21678631;46.128.373;46.370.175;49.822.149;12.042.064;33.322.320;46.272.043;49.832.254;33.008.750;14.564.926;0.032860030;vapor
44.143.120;0.75981578;0.21993693;45.467.581;46.378.827;49.833.526;12.032.730;33.390.748;46.395.273;49.847.623;32.817.042;14.586.171;0.032955501;vapor
44.205.443;0.77142989;0.22312413;44.818.102;46.387.422;49.844.824;12.023.419;33.459.484;46.519.355;49.862.818;32.626.619;14.607.413;0.033051395;vapor
44.267.765;0.78318422;0.22634825;44.179.710;46.395.957;49.856.043;12.014.131;33.528.527;46.644.291;49.877.840;32.437.468;14.628.651;0.033147712;vapor
44.330.088;0.79507996;0.22960961;43.552.185;46.404.434;49.867.181;12.004.867;33.597.874;46.770.082;49.892.688;32.249.581;14.649.886;0.033244457;vapor
44.392.411;0.80711832;0.23290853;42.935.311;46.412.852;49.878.240;11.995.625;33.667.522;46.896.732;49.907.363;32.062.946;14.671.119;0.033341631;vapor
44.454.733;0.81930050;0.23624535;42.328.876;46.421.210;49.889.217;11.986.406;33.737.469;47.024.243;49.921.863;31.877.554;14.692.348;0.033439236;vapor
44.517.056;0.83162771;0.23962039;41.732.675;46.429.509;49.900.114;11.977.208;33.807.713;47.152.616;49.936.188;31.693.394;14.713.575;0.033537275;vapor
44.579.379;0.84410117;0.24303400;41.146.507;46.437.747;49.910.928;11.968.033;33.878.252;47.281.854;49.950.338;31.510.458;14.734.799;0.033635750;vapor
44.641.701;0.85672209;0.24648650;40.570.173;46.445.925;49.921.661;11.958.880;33.949.082;47.411.959;49.964.312;31.328.735;14.756.021;0.033734664;vapor
44.704.024;0.86949171;0.24997824;40.003.483;46.454.042;49.932.312;11.949.749;34.020.201;47.542.934;49.978.111;31.148.216;14.777.240;0.033834018;vapor
44.766.347;0.88241125;0.25350955;39.446.246;46.462.098;49.942.879;11.940.639;34.091.608;47.674.782;49.991.733;30.968.892;14.798.457;0.033933815;vapor
44.828.669;0.89548195;0.25708078;38.898.279;46.470.093;49.953.364;11.931.550;34.163.298;47.807.504;50.005.179;30.790.754;14.819.672;0.034034058;vapor
44.890.992;0.90870504;0.26069228;38.359.402;46.478.026;49.963.764;11.922.483;34.235.271;47.941.104;50.018.448;30.613.793;14.840.885;0.034134749;vapor
44.953.315;0.92208178;0.26434439;37.829.439;46.485.897;49.974.081;11.913.436;34.307.524;48.075.584;50.031.539;30.438.001;14.862.096;0.034235890;vapor
45.015.637;0.93561342;0.26803747;37.308.217;46.493.706;49.984.313;11.904.410;34.380.054;48.210.948;50.044.452;30.263.368;14.883.305;0.034337484;vapor
45.077.960;0.94930121;0.27177186;36.795.568;46.501.453;49.994.460;11.895.405;34.452.858;48.347.198;50.057.186;30.089.888;14.904.513;0.034439533;vapor
45.140.283;0.96314642;0.27554793;36.291.327;46.509.136;50.004.522;11.886.419;34.525.935;48.484.336;50.069.742;29.917.551;14.925.719;0.034542040;vapor
45.202.605;0.97715030;0.27936603;35.795.333;46.516.756;50.014.498;11.877.454;34.599.282;48.622.367;50.082.119;29.746.349;14.946.924;0.034645007;vapor
45.264.928;0.99131414;0.28322652;35.307.428;46.524.313;50.024.388;11.868.509;34.672.897;48.761.293;50.094.317;29.576.274;14.968.129;0.034748437;vapor
45.327.251;10.056.392;0.28712977;34.827.459;46.531.806;50.034.191;11.859.583;34.746.778;48.901.117;50.106.334;29.407.319;14.989.332;0.034852332;vapor
45.389.573;10.201.268;0.29107613;34.355.273;46.539.234;50.043.908;11.850.677;34.820.921;49.041.844;50.118.171;29.239.476;15.010.534;0.034956695;vapor
45.451.896;10.347.781;0.29506600;33.890.723;46.546.598;50.053.536;11.841.790;34.895.325;49.183.476;50.129.827;29.072.736;15.031.736;0.035061529;vapor
45.514.219;10.495.946;0.29909972;33.433.666;46.553.897;50.063.077;11.832.923;34.969.987;49.326.017;50.141.301;28.907.093;15.052.937;0.035166835;vapor
45.576.541;10.645.774;0.30317768;32.983.959;46.561.131;50.072.529;11.824.074;35.044.906;49.469.470;50.152.594;28.742.540;15.074.139;0.035272617;vapor
45.638.864;10.797.280;0.30730025;32.541.464;46.568.300;50.081.893;11.815.244;35.120.079;49.613.840;50.163.705;28.579.067;15.095.340;0.035378878;vapor
45.701.187;10.950.475;0.31146782;32.106.046;46.575.403;50.091.167;11.806.432;35.195.504;49.759.130;50.174.633;28.416.670;15.116.541;0.035485619;vapor
45.763.509;11.105.373;0.31568076;31.677.572;46.582.439;50.100.352;11.797.639;35.271.178;49.905.344;50.185.378;28.255.340;15.137.742;0.035592845;vapor
45.825.832;11.261.987;0.31993947;31.255.912;46.589.409;50.109.446;11.788.864;35.347.100;50.052.487;50.195.939;28.095.070;15.158.945;0.035700556;vapor
45.888.155;11.420.331;0.32424433;30.840.941;46.596.312;50.118.450;11.780.106;35.423.267;50.200.562;50.206.316;27.935.853;15.180.147;0.035808757;vapor
45.950.477;11.580.417;0.32859572;30.432.532;46.603.148;50.127.363;11.771.367;35.499.677;50.349.575;50.216.508;27.777.682;15.201.351;0.035917450;vapor
46.012.800;11.742.260;0.33299406;30.030.566;46.609.917;50.136.184;11.762.645;35.576.329;50.499.529;50.226.516;27.620.552;15.222.556;0.036026637;vapor
46.075.123;11.905.872;0.33743972;29.634.922;46.616.618;50.144.913;11.753.940;35.653.219;50.650.429;50.236.338;27.464.453;15.243.762;0.036136322;vapor
46.137.445;12.071.266;0.34193312;29.245.485;46.623.250;50.153.550;11.745.253;35.730.347;50.802.281;50.245.974;27.309.381;15.264.969;0.036246507;vapor
46.199.768;12.238.457;0.34647466;28.862.139;46.629.814;50.162.094;11.736.583;35.807.710;50.955.088;50.255.423;27.155.329;15.286.178;0.036357196;vapor
46.262.091;12.407.457;0.35106474;28.484.774;46.636.309;50.170.545;11.727.929;35.885.307;51.108.856;50.264.685;27.002.289;15.307.390;0.036468391;vapor
46.324.413;12.578.281;0.35570378;28.113.280;46.642.735;50.178.902;11.719.292;35.963.135;51.263.590;50.273.760;26.850.256;15.328.603;0.036580095;vapor
46.386.736;12.750.941;0.36039217;27.747.550;46.649.091;50.187.165;11.710.672;36.041.192;51.419.296;50.282.646;26.699.223;15.349.819;0.036692311;vapor
46.449.059;12.925.452;0.36513035;27.387.479;46.655.377;50.195.333;11.702.068;36.119.478;51.575.979;50.291.344;26.549.183;15.371.037;0.036805043;vapor
46.511.381;13.101.828;0.36991873;27.032.965;46.661.593;50.203.405;11.693.479;36.197.989;51.733.644;50.299.853;26.400.130;15.392.258;0.036918292;vapor
46.573.704;13.280.081;0.37475774;26.683.905;46.667.738;50.211.382;11.684.907;36.276.725;51.892.298;50.308.172;26.252.058;15.413.482;0.037032063;vapor
46.636.027;13.460.226;0.37964779;26.340.204;46.673.812;50.219.263;11.676.350;36.355.683;52.051.946;50.316.301;26.104.961;15.434.710;0.037146358;vapor
46.698.349;13.642.277;0.38458932;26.001.762;46.679.815;50.227.047;11.667.809;36.434.862;52.212.595;50.324.239;25.958.833;15.455.941;0.037261181;vapor
46.760.672;13.826.247;0.38958276;25.668.487;46.685.746;50.234.734;11.659.284;36.514.261;52.374.251;50.331.986;25.813.666;15.477.175;0.037376534;vapor
46.822.995;14.012.151;0.39462854;25.340.286;46.691.605;50.242.324;11.650.773;36.593.877;52.536.920;50.339.540;25.669.456;15.498.414;0.037492421;vapor
46.885.317;14.200.003;0.39972711;25.017.067;46.697.391;50.249.815;11.642.277;36.673.710;52.700.609;50.346.902;25.526.196;15.519.657;0.037608846;vapor
46.947.640;14.389.815;0.40487891;24.698.743;46.703.105;50.257.208;11.633.796;36.753.757;52.865.325;50.354.071;25.383.880;15.540.905;0.037725811;vapor
47.009.963;14.581.604;0.41008438;24.385.225;46.708.745;50.264.502;11.625.330;36.834.018;53.031.075;50.361.047;25.242.502;15.562.157;0.037843319;vapor
47.072.285;14.775.382;0.41534398;24.076.429;46.714.312;50.271.696;11.616.878;36.914.491;53.197.866;50.367.828;25.102.056;15.583.415;0.037961375;vapor
47.134.608;14.971.164;0.42065816;23.772.272;46.719.804;50.278.790;11.608.440;36.995.175;53.365.705;50.374.414;24.962.536;15.604.678;0.038079981;vapor
47.196.931;15.168.965;0.42602737;23.472.670;46.725.222;50.285.783;11.600.017;37.076.068;53.534.600;50.380.805;24.823.936;15.625.946;0.038199141;vapor
47.259.253;15.368.798;0.43145208;23.177.545;46.730.566;50.292.676;11.591.607;37.157.170;53.704.558;50.386.999;24.686.251;15.647.221;0.038318858;vapor
47.321.576;15.570.678;0.43693275;22.886.817;46.735.834;50.299.466;11.583.211;37.238.478;53.875.589;50.392.997;24.549.474;15.668.501;0.038439136;vapor
47.383.899;15.774.619;0.44246986;22.600.410;46.741.027;50.306.155;11.574.828;37.319.992;54.047.699;50.398.797;24.413.599;15.689.788;0.038559979;vapor
47.446.221;15.980.636;0.44806387;22.318.247;46.746.143;50.312.741;11.566.459;37.401.712;54.220.897;50.404.400;24.278.622;15.711.082;0.038681390;vapor
47.508.544;16.188.742;0.45371525;22.040.255;46.751.184;50.319.224;11.558.103;37.483.635;54.395.192;50.409.803;24.144.535;15.732.383;0.038803373;vapor
47.570.867;16.398.954;0.45942450;21.766.362;46.756.147;50.325.603;11.549.760;37.565.760;54.570.592;50.415.007;24.011.334;15.753.692;0.038925931;vapor
47.633.189;16.611.285;0.46519210;21.496.496;46.761.034;50.331.878;11.541.430;37.648.088;54.747.106;50.420.012;23.879.013;15.775.008;0.039049069;vapor
47.695.512;16.825.749;0.47101853;21.230.587;46.765.842;50.338.048;11.533.112;37.730.617;54.924.745;50.424.815;23.747.565;15.796.332;0.039172789;vapor
47.757.835;17.042.362;0.47690429;20.968.568;46.770.573;50.344.113;11.524.807;37.813.346;55.103.516;50.429.417;23.616.986;15.817.664;0.039297097;vapor
47.820.157;17.261.139;0.48284988;20.710.371;46.775.226;50.350.072;11.516.513;37.896.274;55.283.430;50.433.818;23.487.269;15.839.005;0.039421995;vapor
